ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_comparator,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude
z7n,Li0.86Hf2.035(PO4)3,6,Li5.16Hf12.21P18.0O72.0,9.2e-08,,,R-3c,167,8.8306,8.8306,22.027,90.0,90.0,120.0,NASICON,10.1021/cm970078n,0,,done,,,double check with ID 11,,,83501.0,11.0,,train,9.2e-08,False,,9.2e-08,9.2e-08,9.2e-08,-7.036212172654444,-7.036212172654444,-7.036212172654444
7kf,Li1.7Al0.3Ti1.6(PO4)3,6,Li10.2Al1.8Ti9.6P18.0O72.0,0.00122,0.00122,0.002,R-3c,167,8.46,8.46,20.69,90.0,90.0,120.0,NASICON,10.1016/s0167-2738(00)00493-8,1,D2 - 142,not available,,,ic # check,,,,142.0,,train,0.00122,False,,0.00122,0.00122,0.00122,-2.9136401693252516,-2.9136401693252516,-2.9136401693252516
i8k,Li1.2In0.2Ti1.8(PO4)3,6,Li7.2In1.2Ti10.8P18.0O72.0,8.22e-05,,,R-3c,167,8.55,8.55,20.96,90.0,90.0,120.0,NASICON,10.1021/cm030422i,1,D2 - 143,not available,,,,,,,143.0,,train,8.22e-05,False,,8.22e-05,8.22e-05,8.22e-05,-4.0851281824599495,-4.0851281824599495,-4.0851281824599495
hzf,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,6,Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,0.000972,,,R-3c,167,8.5169,8.5169,20.916,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2012.03.045,1,D2 - 144,not available,,,,,,,144.0,,train,0.000972,False,,0.000972,0.000972,0.000972,-3.0123337350737254,-3.0123337350737254,-3.0123337350737254
x61,Li1.3Al0.15Sc0.15Ti1.7(PO4)3,6,Li7.8Al0.9Sc0.9Ti10.2P18.0O72.0,0.00124,,,R-3c,167,8.5244,8.5244,20.9553,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2012.03.045,1,D2 - 144,not available,,,,,,,144.0,,train,0.00124,False,,0.00124,0.00124,0.00124,-2.906578314837765,-2.906578314837765,-2.906578314837765
czo,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,6,Li7.8Al0.6Sc1.2Ti10.2P18.0O72.0,0.000429,,,R-3c,167,8.5322,8.5322,21.0039,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2012.03.045,1,D2 - 144,not available,,,,,,,144.0,,train,0.000429,False,,0.000429,0.000429,0.000429,-3.3675427078152755,-3.3675427078152755,-3.3675427078152755
o8s,Li1.3Sc0.3Ti1.7(PO4)3,6,Li7.8Sc1.8Ti10.2P18.0O72.0,0.000452,,,R-3c,167,8.5529,8.5529,21.058,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2012.03.045,1,D2 - 144,not available,,,,,,,144.0,,train,0.000452,False,,0.000452,0.000452,0.000452,-3.344861565188618,-3.344861565188618,-3.344861565188618
lap,Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.00113,,,R-3c,167,8.5012,8.5012,20.8416,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2012.03.045,1,D2 - 144,done,,,,Yes,10.1021/acs.chemmater.9b04419,141519.0,144.0,,train,0.00113,False,,0.00113,0.00113,0.00113,-2.9469215565165805,-2.9469215565165805,-2.9469215565165805
yp3,LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,6e-05,,,R-3c,167,8.5087,8.5087,20.9089,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 – 145,not available,,,composition should be corrected,,,,145.0,,train,6e-05,False,,6e-05,6e-05,6e-05,-4.221848749616356,-4.221848749616356,-4.221848749616356
tzl,Li1.05Al0.05Ti1.95(PO4)3,6,Li6.3Al0.3Ti11.7P18.0O72.0,0.0011,,,R-3c,167,8.5066,8.5066,20.9085,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.0011,False,,0.0011,0.0011,0.0011,-2.958607314841775,-2.958607314841775,-2.958607314841775
hyj,Li1.1Al0.1Ti1.9(PO4)3,6,Li6.6Al0.6Ti11.4P18.0O72.0,0.00067,,,R-3c,167,8.5068,8.5068,20.8905,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.00067,False,,0.00067,0.00067,0.00067,-3.1739251972991736,-3.1739251972991736,-3.1739251972991736
mg4,Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.0062,,,R-3c,167,8.4941,8.4941,20.8586,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,done,,,composition should be corrected,Yes,10.1016/j.jallcom.2020.155878,36778.0,145.0,19.0,train,0.0062,False,,0.0062,0.0062,0.0062,-2.207608310501746,-2.207608310501746,-2.207608310501746
50s,Li1.4Al0.4Ti1.6(PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.0033,,,R-3c,167,8.4882,8.4882,20.8571,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.0033,False,,0.0033,0.0033,0.0033,-2.4814860601221125,-2.4814860601221125,-2.4814860601221125
d4q,Li1.05Cr0.05Ti1.95(PO4)3,6,Li6.3Cr0.3Ti11.7P18.0O72.0,0.00018,,,R-3c,167,8.5093,8.5093,20.915,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.00018,False,,0.00018,0.00018,0.00018,-3.744727494896694,-3.744727494896694,-3.744727494896694
6he,Li1.1Cr0.1Ti1.9(PO4)3,6,Li6.6Cr0.6Ti11.4P18.0O72.0,0.00026,,,R-3c,167,8.5126,8.5126,20.9212,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.00026,False,,0.00026,0.00026,0.00026,-3.5850266520291822,-3.5850266520291822,-3.5850266520291822
pwy,Li1.2Cr0.2Ti1.8(PO4)3,6,Li7.2Cr1.2Ti10.8P18.0O72.0,0.00043,,,R-3c,167,8.5132,8.5132,20.9271,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.00043,False,,0.00043,0.00043,0.00043,-3.3665315444204134,-3.3665315444204134,-3.3665315444204134
y9l,Li1.3Cr0.3Ti1.7(PO4)3,6,Li7.8Cr1.8Ti10.2P18.0O72.0,0.00029,,,R-3c,167,8.5183,8.5183,20.9177,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.00029,False,,0.00029,0.00029,0.00029,-3.537602002101044,-3.537602002101044,-3.537602002101044
rc1,Li1.05Fe0.05Ti1.95(PO4)3,6,Li6.3Fe0.3Ti11.7P18.0O72.0,0.00013,,,R-3c,167,8.5125,8.5125,20.8871,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.00013,False,,0.00013,0.00013,0.00013,-3.886056647693163,-3.886056647693163,-3.886056647693163
lzt,Li1.1Fe0.1Ti1.9(PO4)3,6,Li6.6Fe0.6Ti11.4P18.0O72.0,0.00063,,,R-3c,167,8.5137,8.5137,20.8822,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.00063,False,,0.00063,0.00063,0.00063,-3.2006594505464183,-3.2006594505464183,-3.2006594505464183
kbp,Li1.2Fe0.2Ti1.8(PO4)3,6,Li7.2Fe1.2Ti10.8P18.0O72.0,0.0014,,,R-3c,167,8.5213,8.5213,20.9211,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.0014,False,,0.0014,0.0014,0.0014,-2.853871964321762,-2.853871964321762,-2.853871964321762
b9u,Li1.3Fe0.3Ti1.7(PO4)3,6,Li7.8Fe1.8Ti10.2P18.0O72.0,0.0023,,,R-3c,167,8.5239,8.5239,20.9215,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018,1,D2 - 145,not available,,,composition should be corrected,,,,145.0,,train,0.0023,False,,0.0023,0.0023,0.0023,-2.638272163982407,-2.638272163982407,-2.638272163982407
3uq,Li1.3Al0.3Ge1.7(PO4)3,6,Li7.8Al1.8Ge10.2P18.0O72.0,8.24e-05,,,R-3c,167,8.26189,8.26189,20.5646,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263761-ICSD,downloaded,"check ID 242-247; refer D2 - 140, D2- 146, D1-421",,,263761.0,133.0,,train,8.24e-05,False,,8.24e-05,8.24e-05,8.24e-05,-4.084072788302884,-4.084072788302884,-4.084072788302884
1dm,Li1.6Al0.6Ge1.4(PO4)3,6,Li9.6Al3.6Ge8.4P18.0O72.0,0.000284,,,R-3c,167,8.2526,8.2526,20.6831,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263764-ICSD,downloaded,,,,263764.0,133.0,,train,0.000284,False,,0.000284,0.000284,0.000284,-3.5466816599529625,-3.5466816599529625,-3.5466816599529625
rg6,Li1.4Al0.4Ti1.6 (PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.00338,,,R-3c,167,8.4975,8.4975,20.7921,90.0,90.0,120.0,NASICON,10.1016/j.jeurceramsoc.2014.11.023,1,D2 - 243,not available,,,refere D2 - 134,,,,243.0,,train,0.00338,False,,0.00338,0.00338,0.00338,-2.4710832997223453,-2.4710832997223453,-2.4710832997223453
ed4,Li1.2Al0.2Ge1.8(PO4)3,6,Li7.2Al1.2Ge10.8P18.0O72.0,7.94e-05,,,R-3c,167,8.283,8.283,20.471,90.0,90.0,120.0,NASICON,10.1016/j.jeurceramsoc.2014.11.023,1,D2 - 243,not available,,,,,,,243.0,,train,7.94e-05,False,,7.94e-05,7.94e-05,7.94e-05,-4.100179497572904,-4.100179497572904,-4.100179497572904
vg0,Li1.5Al0.5Ge1.5(PO4)3,6,Li9.0Al3.0Ge9.0P18.0O72.0,0.00019,,,R-3c,167,8.2828,8.2828,20.5014,90.0,90.0,120.0,NASICON,10.1016/j.jeurceramsoc.2014.11.023,1,D2 - 243,done,,,,Yes,10.1016/j.jallcom.2020.155878,36779.0,243.0,,train,0.00019,False,,0.00019,0.00019,0.00019,-3.721246399047171,-3.721246399047171,-3.721246399047171
z9y,Li1.2Al0.2Ti1.8(PO4)3,6,Li7.2Al1.2Ti10.8P18.0O72.0,0.00338,,,R-3c,167,8.502,8.502,20.818,90.0,90.0,120.0,NASICON,10.1016/j.jeurceramsoc.2014.11.023,1,D2 - 243,done,,,,Yes,10.1021/acs.chemmater.9b04419,141515.0,243.0,,train,0.00338,False,,0.00338,0.00338,0.00338,-2.4710832997223453,-2.4710832997223453,-2.4710832997223453
w3n,Li1.4Al0.4Ti1.6(PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.00112,,,R-3c,167,8.503,8.503,20.847,90.0,90.0,120.0,NASICON,10.1016/j.materresbull.2007.08.007,1,D2 - 245,not available,,,refer D2 - 134; D2 - 243; D1 - 40; D1 - 170 ,,,,245.0,,train,0.00112,False,,0.00112,0.00112,0.00112,-2.9507819773298185,-2.9507819773298185,-2.9507819773298185
ym6,Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.00121,,,R-3c,167,8.5033,8.5033,20.8312,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2016.07.010,0,,done,,,,Yes,10.1016/j.ssi.2019.115192,19907.0,,20.0,train,0.00121,False,,0.00121,0.00121,0.00121,-2.91721462968355,-2.91721462968355,-2.91721462968355
nng,Li1.6Al0.6Ge0.8Ti0.6(PO4)3,6,Li9.6Al3.6Ge4.8P18.0Ti3.6O72.0,0.0007,,,R-3c,167,8.383,8.383,20.637,90.0,90.0,120.0,NASICON,10.1021/cm021717j,1,D1 - 30,not available,,,bulk Ic ,,,,,30.0,train,0.0007,False,,0.0007,0.0007,0.0007,-3.154901959985743,-3.154901959985743,-3.154901959985743
qno,LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,3.83e-07,,,R-3c,167,8.509,8.509,20.853,90.0,90.0,120.0,NASICON,10.1021/jp973296c,0,,done,,,,Yes,10.1021/ic400577v,118128.0,,25.0,train,3.83e-07,False,,3.83e-07,3.83e-07,3.83e-07,-6.416801226031377,-6.416801226031377,-6.416801226031377
oxc,Li1.4Al0.4Ti1.6(PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.00563,,,R-3c,167,8.5,8.5,20.81,90.0,90.0,120.0,NASICON,10.1039/c5ta08545d,0,,,,,,,,,,29.0,train,0.00563,False,,0.00563,0.00563,0.00563,-2.2494916051486538,-2.2494916051486538,-2.2494916051486538
dq4,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,6,Li7.8Al0.6Sc1.2Ti10.2P18.0O72.0,0.000426,,,R-3c,167,8.5244,8.5244,20.925,90.0,90.0,120.0,NASICON,10.1007/s10008-012-1780-x,1,D1 - 310,not available,,,refer D2 - 144,,,,,246.0,train,0.000426,False,,0.000426,0.000426,0.000426,-3.370590400897281,-3.370590400897281,-3.370590400897281
0fa,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,6,Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,0.000269,,,R-3c,167,8.5216,8.5216,20.917,90.0,90.0,120.0,NASICON,10.1007/s10008-012-1780-x,1,D1 - 310,not available,,,,,,,,247.0,train,0.000269,False,,0.000269,0.000269,0.000269,-3.570247719997592,-3.570247719997592,-3.570247719997592
rr5,LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,7.2e-05,,,R-3c,167,8.5135,8.5135,20.8705,90.0,90.0,120.0,NASICON,10.1007/s11164-013-1348-0,1,D1 - 312,done,,,,Yes,10.1039/b203652p,184088.0,,249.0,train,7.2e-05,False,,7.2e-05,7.2e-05,7.2e-05,-4.142667503568732,-4.142667503568732,-4.142667503568732
6j9,Li1.15Fe0.15Ti1.85(PO4)3,6,Li6.9Fe0.9Ti11.1P18.0O72.0,0.000522,,,R-3c,167,8.5188,8.5188,20.8472,90.0,90.0,120.0,NASICON,10.1007/s11164-013-1348-0,1,D1 - 312,not available,,,,,,,,248.0,train,0.000522,False,,0.000522,0.000522,0.000522,-3.282329496997738,-3.282329496997738,-3.282329496997738
0x9,Li1.2Sc0.2Ti1.8(PO4)3,6,Li7.2Sc1.2Ti10.8P18.0O72.0,0.000246,,,R-3c,167,8.536,8.536,20.922,90.0,90.0,120.0,NASICON,10.1016/0167-2738(86)90179-7,1,D1 - 333,not available,,,,,,,,266.0,train,0.000246,False,,0.000246,0.000246,0.000246,-3.6090648928966207,-3.6090648928966207,-3.6090648928966207
iwe,Li1.3Sc0.3Ti1.7(PO4)3,6,Li7.8Sc1.8Ti10.2P18.0O72.0,0.000407,,,R-3c,167,8.559,8.559,20.964,90.0,90.0,120.0,NASICON,10.1016/0167-2738(86)90179-7,1,D1 - 333,not available,,,,,,,,333.0,train,0.000407,False,,0.000407,0.000407,0.000407,-3.39040559077478,-3.39040559077478,-3.39040559077478
ib2,Li1.1Sc0.1Ti1.9(PO4)3,6,Li6.6Sc0.6Ti11.4P18.0O72.0,0.000158,,,R-3c,167,8.522,8.522,20.889,90.0,90.0,120.0,NASICON,10.1016/0167-2738(86)90179-7,1,D1 - 333,not available,,,,,,,,269.0,train,0.000158,False,,0.000158,0.000158,0.000158,-3.8013429130455774,-3.8013429130455774,-3.8013429130455774
ppz,Li1.3In0.3Hf1.7(PO4)3,6,Li7.8In1.8Hf10.2P18.0O72.0,1e-05,,,R-3c,167,8.82,8.82,21.933,90.0,90.0,120.0,NASICON,10.1016/0167-2738(86)90179-7,1,D1 - 333,not available,,,,,,,,272.0,train,1e-05,False,,1e-05,1e-05,1e-05,-5.0,-5.0,-5.0
ci1,LiTi0.2Zr1.8(PO4)3,6,Li6.0Ti1.2Zr10.8P18.0O72.0,5.6e-08,,,R-3c,167,8.828,8.828,21.978,90.0,90.0,120.0,NASICON,10.1016/0167-2738(86)90179-7,1,D1 - 333,not available,,,,,,,,273.0,train,5.6e-08,False,,5.6e-08,5.6e-08,5.6e-08,-7.251811972993799,-7.251811972993799,-7.251811972993799
08e,LiTi1.8Zr0.2(PO4)3,6,Li6.0Ti10.8Zr1.2P18.0O72.0,8.5e-08,,,R-3c,167,8.54,8.54,20.985,90.0,90.0,120.0,NASICON,10.1016/0167-2738(86)90179-7,1,D1 - 333,not available,,,,,,,,275.0,train,8.5e-08,False,,8.5e-08,8.5e-08,8.5e-08,-7.070581074285707,-7.070581074285707,-7.070581074285707
xkh,LiTi0.1Zr1.9(PO4)3,6,Li6.0Ti0.6Zr11.4P18.0O72.0,3.2e-08,,,R-3c,167,8.845,8.845,22.057,90.0,90.0,120.0,NASICON,10.1016/0167-2738(86)90179-7,1,D1 - 333,not available,,,,,,,,279.0,train,3.2e-08,False,,3.2e-08,3.2e-08,3.2e-08,-7.494850021680094,-7.494850021680094,-7.494850021680094
wng,Li1.2In0.2Hf1.8(PO4)3,6,Li7.2In1.2Hf10.8P18.0O72.0,4e-06,,,R-3c,167,8.815,8.815,21.954,90.0,90.0,120.0,NASICON,10.1016/0167-2738(86)90179-7,1,D1 - 333,not available,,,,,,,,333.0,train,4e-06,False,,4e-06,4e-06,4e-06,-5.3979400086720375,-5.3979400086720375,-5.3979400086720375
ncr,LiHf2(PO4)3,6,Li6.0Hf12.0P18.0O72.0,6.85e-07,,,R-3c,167,8.809,8.809,21.98,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,367.0,train,6.85e-07,False,,6.85e-07,6.85e-07,6.85e-07,-6.164309428507575,-6.164309428507575,-6.164309428507575
dx2,Li1.1Fe0.1Hf1.9(PO4)3,6,Li6.6Fe0.6Hf11.4P18.0O72.0,0.000107,,,R-3c,167,8.822,8.822,21.997,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,296.0,train,0.000107,False,,0.000107,0.000107,0.000107,-3.9706162223147903,-3.9706162223147903,-3.9706162223147903
6xc,Li1.1In0.1Hf1.9(PO4)3,6,Li6.6In0.6Hf11.4P18.0O72.0,5.13e-05,,,R-3c,167,8.831,8.831,22.036,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,367.0,train,5.13e-05,False,,5.13e-05,5.13e-05,5.13e-05,-4.289882634888183,-4.289882634888183,-4.289882634888183
21m,Li1.1Lu0.1Hf1.9(PO4)3,6,Li6.6Lu0.6Hf11.4P18.0O72.0,5.88e-05,,,R-3c,167,8.839,8.839,22.046,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,302.0,train,5.88e-05,False,,5.88e-05,5.88e-05,5.88e-05,-4.230622673923862,-4.230622673923862,-4.230622673923862
4k1,Li1.1Sc0.1Hf1.9(PO4)3,6,Li6.6Sc0.6Hf11.4P18.0O72.0,2.45e-05,,,R-3c,167,8.837,8.837,21.965,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,308.0,train,2.45e-05,False,,2.45e-05,2.45e-05,2.45e-05,-4.610833915635467,-4.610833915635467,-4.610833915635467
gzp,Li1.2Lu0.2Hf1.8(PO4)3,6,Li7.2Lu1.2Hf10.8P18.0O72.0,9.79e-05,,,R-3c,167,8.836,8.836,21.997,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,297.0,train,9.79e-05,False,,9.79e-05,9.79e-05,9.79e-05,-4.009217308196862,-4.009217308196862,-4.009217308196862
lh8,Li1.3Cr0.3Hf1.7(PO4)3,6,Li7.8Cr1.8Hf10.2P18.0O72.0,5.26e-07,,,R-3c,167,8.798,8.798,21.929,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,311.0,train,5.26e-07,False,,5.26e-07,5.26e-07,5.26e-07,-6.279014255846261,-6.279014255846261,-6.279014255846261
ew5,Li1.3Fe0.3Hf1.7(PO4)3,6,Li7.8Fe1.8Hf10.2P18.0O72.0,5.4e-05,,,R-3c,167,8.809,8.809,21.889,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,305.0,train,5.4e-05,False,,5.4e-05,5.4e-05,5.4e-05,-4.267606240177032,-4.267606240177032,-4.267606240177032
9l3,Li1.3In0.3Hf1.7(PO4)3,6,Li7.8In1.8Hf10.2P18.0O72.0,0.000142,,,R-3c,167,8.84,8.84,21.995,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,294.0,train,0.000142,False,,0.000142,0.000142,0.000142,-3.8477116556169433,-3.8477116556169433,-3.8477116556169433
jdk,Li1.3Lu0.3Hf1.7(PO4)3,6,Li7.8Lu1.8Hf10.2P18.0O72.0,3.56e-05,,,R-3c,167,8.843,8.843,21.995,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,306.0,train,3.56e-05,False,,3.56e-05,3.56e-05,3.56e-05,-4.448550002027125,-4.448550002027125,-4.448550002027125
h8a,Li1.3Sc0.3Hf1.7(PO4)3,6,Li7.8Sc1.8Hf10.2P18.0O72.0,8.32e-05,,,R-3c,167,8.857,8.857,21.995,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,301.0,train,8.32e-05,False,,8.32e-05,8.32e-05,8.32e-05,-4.079876673709276,-4.079876673709276,-4.079876673709276
jq7,Li1.3Y0.3Hf1.7(PO4)3,6,Li7.8Y1.8Hf10.2P18.0O72.0,3.19e-05,,,R-3c,167,8.835,8.835,21.957,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,307.0,train,3.19e-05,False,,3.19e-05,3.19e-05,3.19e-05,-4.496209316942819,-4.496209316942819,-4.496209316942819
ylt,Li1.4In0.4Hf1.6(PO4)3,6,Li8.4In2.4Hf9.6P18.0O72.0,0.000142,,,R-3c,167,8.836,8.836,21.926,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,295.0,train,0.000142,False,,0.000142,0.000142,0.000142,-3.8477116556169433,-3.8477116556169433,-3.8477116556169433
gnq,Li1.4Lu0.4Hf1.6(PO4)3,6,Li8.4Lu2.4Hf9.6P18.0O72.0,2.06e-05,,,R-3c,167,8.877,8.877,21.946,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,309.0,train,2.06e-05,False,,2.06e-05,2.06e-05,2.06e-05,-4.686132779630847,-4.686132779630847,-4.686132779630847
sso,Li1.4Y0.4Hf1.6(PO4)3,6,Li8.4Y2.4Hf9.6P18.0O72.0,2.09e-05,,,R-3c,167,8.863,8.863,21.91,90.0,90.0,120.0,NASICON,10.1016/0167-2738(93)90387-i,1,D1 - 367,not available,,,,,,,,303.0,train,2.09e-05,False,,2.09e-05,2.09e-05,2.09e-05,-4.679853713888946,-4.679853713888946,-4.679853713888946
lpx,Li1.15Y0.15Zr1.85(PO4)3,6,Li6.9Y0.9Zr11.1P18.0O72.0,7.1e-05,7.1e-05,0.00014,R-3c,167,8.8727,8.8727,22.1578,90.0,90.0,120.0,NASICON,10.1016/j.jpowsour.2013.03.175,1,D2 - 136; D1 - 390,done,1700808.cif,,bulk ic (total ic 7.10E-05),,,191891.0,136.0,319.0,train,7.1e-05,False,,7.1e-05,7.1e-05,7.1e-05,-4.1487416512809245,-4.1487416512809245,-4.1487416512809245
f7p,Li1.3Al0.2Y0.1Ti1.7(PO4)3,6,Li7.8Al1.2Y0.6Ti10.2P18.0O72.0,0.00012,,,R-3c,167,8.5054,8.5054,20.8247,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2012.05.011,1,D1 - 401; D1 - 426,not available,,,,,,,,329.0,train,0.00012,False,,0.00012,0.00012,0.00012,-3.9208187539523753,-3.9208187539523753,-3.9208187539523753
l8t,Li1.3Al0.1Y0.2Ti1.7(PO4)3,6,Li7.8Al0.6Y1.2Ti10.2P18.0O72.0,7.3e-05,,,R-3c,167,8.5109,8.5109,20.8372,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2012.05.011,1,D1 - 401; D1 - 426,not available,,,,,,,,330.0,train,7.3e-05,False,,7.3e-05,7.3e-05,7.3e-05,-4.136677139879544,-4.136677139879544,-4.136677139879544
3tt,Li1.3Al0.15Y0.15Ti1.7(PO4)3,6,Li7.8Al0.9Y0.9Ti10.2P18.0O72.0,1.9e-05,,,R-3c,167,8.5069,8.5069,20.8226,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2012.05.011,1,D1 - 401; D1 - 426,not available,,,,,,,,331.0,train,1.9e-05,False,,1.9e-05,1.9e-05,1.9e-05,-4.721246399047171,-4.721246399047171,-4.721246399047171
za6,Li1.1Al0.1Ge1.9(PO4)3,6,Li6.6Al0.6Ge11.4P18.0O72.0,2.9e-06,,,R-3c,167,8.262,8.262,20.44,90.0,90.0,120.0,NASICON,10.1016/s0955-2219(99)00055-2,1,D1 - 401; D1 - 426,not available,,,,,,,,352.0,train,2.9e-06,False,,2.9e-06,2.9e-06,2.9e-06,-5.5376020021010435,-5.5376020021010435,-5.5376020021010435
ag1,Li1.3Al0.3Ge1.7(PO4)3,6,Li7.8Al1.8Ge10.2P18.0O72.0,3.9e-05,,,R-3c,167,8.274,8.274,20.53,90.0,90.0,120.0,NASICON,10.1016/s0955-2219(99)00055-2,1,D1 - 401; D1 - 426,not available,,,,,,,,349.0,train,3.9e-05,False,,3.9e-05,3.9e-05,3.9e-05,-4.4089353929735005,-4.4089353929735005,-4.4089353929735005
u5t,Li1.5Al0.5Ge1.5(PO4)3,6,Li9.0Al3.0Ge9.0P18.0O72.0,0.00028,,,R-3c,167,8.25,8.25,20.56,90.0,90.0,120.0,NASICON,10.1016/s0955-2219(99)00055-2,1,D1 - 401; D1 - 426,not available,,,,,,,,347.0,train,0.00028,False,,0.00028,0.00028,0.00028,-3.552841968657781,-3.552841968657781,-3.552841968657781
0y6,Li1.6Al0.6Ge1.4(PO4)3,6,Li9.6Al3.6Ge8.4P18.0O72.0,0.00014,,,R-3c,167,8.265,8.265,20.64,90.0,90.0,120.0,NASICON,10.1016/s0955-2219(99)00055-2,1,D1 - 401; D1 - 426,not available,,,,,,,,348.0,train,0.00014,False,,0.00014,0.00014,0.00014,-3.853871964321762,-3.853871964321762,-3.853871964321762
